Factor,Aerospace and Defense,Airlines,Aluminum Steel,Apparel and Textiles,Automobiles and Components,Banks,Beta,Beverages Tobacco,Biotechnology Life Sciences,Building Products,Carbon Efficiency,Chemicals,Construction and Engineering,Construction and Farm Machinery,Construction Materials Paper and Forest Product,Communications Equipment,Computers Electronics,Commercial and Professional Services,Industrial Conglomerates,Containers and Packaging,Country,Distributors Multiline Retail,Diversified Financials,Dividend Yield,Earnings Quality,Earnings Variability,Earnings Yield,Electrical Equipment,Electric Utilities,Energy Equipment & Services,ESG,Food Products,Food and Staples Retailing,Gas Utilities,Growth,Health Care Equipment and Technology,Health Care Providers (non-HMO),Homebuilding,Household Durables (non-Homebuilding),Industrial Machinery,Insurance Brokers and Reinsurance,Internet Software and IT Services,Investment Quality,Leisure Products Textiles Apparel and Luxury,Hotels Leisure and Consumer Services,Leverage,Life Health and Multi-line Insurance,Liquidity,Long-Term Reversal,Media,Managed Health Care,Mid Capitalization,Momentum,Multi-Utilities Water Utilities Power,Oil Gas and Consumable Fuels,Oil and Gas Exploration and Production,Pharmaceuticals,Precious Metals Gold Mining,Profitability,Household and Personal Products,Real Estate,Restaurants,Residual Volatility,Real Estate Management,Road and Rail,Semiconductors,Semiconductor Equipment,Short Interest,Size,Software,Specialty Retail,Specialty Chemicals,Specialty Stores,Telecommunication Services,Trading Companies and Distributors,Transportation Air Freight and Marine,Value
Aerospace and Defense,146.226946,35.9440333,30.1167581,12.1446354,-12.3616874,7.12049546,-2.22850056,3.74406025,-10.0681181,13.784759,-3.15665488,6.08882642,21.9606521,21.5448847,6.77208227,-13.1152553,-23.0198205,10.0915269,21.732023,-0.866467291,-0.591870317,3.29565299,2.83774873,2.00206595,-0.309077772,-0.869714,3.98616228,6.86594045,3.47402094,40.7693865,-0.807989415,-1.33683251,-0.187774933,-2.11658092,1.18421967,-5.43522463,4.84834764,19.8605845,6.61494421,19.7459213,11.873569,-12.2889747,1.89500538,3.54709892,11.410921,4.57448959,14.2479722,-0.99324184,1.65353692,2.73986606,1.60611686,0.158452866,-0.681803533,6.92156274,24.5646173,30.4413975,-4.11090321,18.0070525,0.030764408,-0.205332219,-0.444407705,6.32099212,-4.44779904,-5.9218122,9.44741961,-28.3501086,-28.0338377,-2.27289621,-3.16171035,-8.32663052,-6.09954997,-0.784549131,3.04201453,5.77016809,24.3360855,-8.74671001,3.39079835
Airlines,35.9440333,648.238416,-15.0056877,37.8859084,56.439214,20.4418045,14.3576364,4.50133553,-28.3984861,16.5570101,-4.2584627,-20.9512746,-3.30756576,21.8742927,19.3968378,-22.7503278,-13.3252016,8.85079995,27.3547477,-3.28747683,12.8041748,17.3985488,22.0848794,3.24674498,-1.23110368,0.676556537,-0.0836734287,-16.1611828,-21.6324723,-123.668289,-1.59289901,-1.03377788,5.22479818,-2.35043792,-2.62564298,-1.75212682,-5.12759783,-19.148822,60.2658059,23.4912152,16.7270165,1.58390926,3.01475638,47.9424505,92.4144155,4.824757,6.2888114,-3.03545923,4.41646747,3.69544915,2.62371278,-1.61968954,-3.4369469,-29.1450714,-62.92179,-107.50519,-4.85564835,-73.4327222,-3.62163027,19.9737458,7.8006846,58.355913,-7.23371394,15.1538837,45.6205996,-29.170735,-33.4533376,0.123851445,1.08960756,-12.0842196,16.4955143,21.8556933,33.3424218,-6.89760652,13.6354606,34.307306,4.07051999
Aluminum Steel,30.1167581,-15.0056877,410.039595,-1.90961598,1.35583341,25.3932699,2.48354835,-10.9777065,-18.208672,30.2721003,-10.7271757,77.3739844,65.7368296,97.4724888,58.3275965,-35.7368954,-21.1756576,9.00676177,36.1539453,35.0216236,15.5420922,4.78702832,14.3585306,0.772775837,1.40050911,-1.12811798,4.80477134,63.503632,-21.3318577,203.07195,1.3987348,-15.8985267,0.895914685,-16.7319024,-2.08024974,-17.079538,-8.99634313,-20.3604919,-2.15243131,57.7385387,1.65186579,-37.800528,6.05172896,8.55380591,-0.0402455577,5.06880021,6.42687558,-5.72664267,5.54422325,-5.54340204,3.99917841,-0.946911242,-10.1101259,-5.30983874,87.9563303,127.391028,-12.7004537,168.317695,-0.327874009,-16.6819196,-10.3765428,-15.3697494,-7.02842408,-20.1627584,41.31983,-22.8781845,-17.1908098,1.52099144,-4.89919939,-38.2248359,-15.0466146,55.0271334,15.0017824,4.07353809,73.1683951,33.8359619,4.75457521
Apparel and Textiles,12.1446354,37.8859084,-1.90961598,357.950377,21.7198667,-2.55866751,-0.178166538,11.7783403,-11.7471255,37.3382577,-4.10160167,-5.07182879,16.9812305,5.45598555,27.7287754,-15.2263999,-20.6434778,6.51444015,6.18015749,9.45720974,-5.71917045,126.286553,2.21691209,2.08594398,-2.39423925,-0.856466035,5.42042732,-10.9207643,-11.8701538,-55.3339927,-0.39652128,-2.49955507,38.1940152,-23.8977575,0.109323123,-11.7929328,17.1596982,63.062291,56.9936416,11.1676222,15.2305267,-20.4490187,2.01513355,158.20145,25.367796,5.67499316,10.5318314,-2.50947791,3.43772148,13.1451714,-3.54747977,1.88367484,-5.72977961,-17.8921775,-35.6860431,-43.4475666,-0.174106875,-29.3282275,-1.07189791,25.7398093,5.65673964,58.0072551,-0.0850759265,-5.57555016,18.8932214,-35.6079039,-37.5881467,-1.80661222,-2.68351884,-33.4462768,93.1973475,5.64158501,184.667706,10.7879318,17.0015492,4.64700161,4.26051376
Automobiles and Components,-12.3616874,56.439214,1.35583341,21.7198667,528.234295,17.0321542,16.2179651,-13.5129548,-69.9915559,16.8464444,5.15958923,3.13478397,-8.4970204,23.6196155,-0.118827239,7.29951728,29.1348948,-4.69506152,1.46938059,6.23185001,27.379243,12.2496821,-1.18960133,-1.8657618,-1.91735754,2.89326456,0.775249136,43.6227573,-33.9520162,-29.7449433,-1.41009889,-7.10720937,-2.23651183,-22.5892907,-1.86666431,-41.0034942,-35.7153617,4.82575722,38.7147387,28.4631229,-33.7906281,-28.1440333,1.81449517,20.1936264,20.812052,0.292254307,-15.9355791,3.21887681,1.31327022,1.07384162,-26.7555707,-3.79756523,-8.82017932,-36.8900248,-32.6904706,-27.0337386,-51.8455679,-16.0756904,-0.318323413,-7.24608854,-5.87435639,-10.6681706,-0.490271092,26.6940868,13.835724,52.6993169,65.5794925,3.34425708,-3.24004947,-30.941507,26.7830318,34.8466219,8.93167504,-17.0858913,25.0272496,29.8155675,3.25177287
Banks,7.12049546,20.4418045,25.3932699,-2.55866751,17.0321542,267.153717,7.04330109,-15.5936705,-13.5593173,11.8447653,-6.92429618,10.8574547,14.9149864,36.8433831,24.5124328,-29.8397967,-33.8701209,8.78304642,16.2865508,8.1425858,6.63478298,5.31562561,70.3383081,1.49087208,3.58128067,-1.97879583,8.47908283,7.65664884,-40.794207,52.7527373,1.18760533,-19.9451023,-10.3358737,-11.4500046,-2.57550467,-39.8018055,-15.4381171,-20.3969364,-12.5792136,24.3753273,34.2553697,-24.5631007,5.96945526,-7.22581793,3.55469939,0.431984292,60.7728068,-4.47336198,6.15736514,-0.591401675,-0.374941505,-4.48222793,-17.5963594,-35.65444,10.6056073,9.6250616,-22.9774006,-53.4636097,1.27459257,-21.9186586,-17.8302747,-13.4631263,-2.37415598,-4.16470971,32.2698187,-38.6391461,-62.4703876,4.5158097,-7.70175375,-22.1227421,0.79370128,8.62350228,-20.3279981,-20.41848,42.7391525,34.9853473,6.26369076
Beta,-2.22850056,14.3576364,2.48354835,-0.178166538,16.2179651,7.04330109,47.5525158,-15.3310348,-14.5936701,8.97273202,0.0962155825,1.40611798,6.93505756,12.7090348,8.07105748,1.3293876,16.7949975,-3.00393252,-1.6071076,-7.63572614,80.2825001,-9.75763259,7.49983761,0.827393345,-0.173181553,0.816227035,-0.0718131199,20.3180571,-21.7940747,2.24358232,-0.763979818,-22.0957832,-9.04962079,-15.0381091,0.907758513,-10.0240029,-11.7919899,-1.79398561,2.74262664,13.0458256,-14.5303445,3.21530322,0.0623661807,3.50723786,13.1293159,0.351695589,-2.55712858,0.760817182,-1.77445432,-1.04330751,-17.461265,2.00938141,-5.98805736,-19.8412064,-5.36672454,-1.29767585,-18.3477798,-11.2073261,-3.02784119,-16.9727588,-6.81479217,2.64540524,17.4533993,23.3610705,10.6218055,9.60678779,14.3728987,0.94383277,-6.56901382,4.53782101,9.50085032,7.60238087,-3.47320901,-20.7748995,18.3741294,4.45359016,1.90740257
Beverages Tobacco,3.74406025,4.50133553,-10.9777065,11.7783403,-13.5129548,-15.5936705,-15.3310348,103.843291,8.99590923,2.9876021,-2.53732015,-0.971870535,-6.14208384,-8.10547003,7.99406206,-8.51308677,-26.8852029,4.22341863,8.72927956,14.6389138,-32.4737396,11.5289256,-4.31420333,0.437641568,0.359990837,-2.16340474,2.18487057,-25.5891131,26.9041224,-19.4265232,0.980518127,50.5931721,21.5127729,18.5367087,0.0675386288,11.0053044,17.5300794,19.4722693,11.8557985,-3.58837735,11.7712078,-8.13663738,-0.12525519,11.3478147,1.04802229,0.498142784,-0.104175373,0.0530676748,3.59252919,6.25733536,21.1951284,0.202996664,-2.73695941,30.6751106,-2.0457428,-17.6968543,16.2824063,-0.501638568,-0.902043161,49.1623085,15.5470945,19.1181168,-5.90767016,-1.28616627,-2.21485972,-43.5131369,-54.265002,0.0635367209,1.36153708,-12.0287633,11.0755975,6.69834153,11.7871241,17.9736175,-8.15222735,3.36458549,0.241155431
Biotechnology Life Sciences,-10.0681181,-28.3984861,-18.208672,-11.7471255,-69.9915559,-13.5593173,-14.5936701,8.99590923,223.849446,5.89141296,1.6753016,-13.6197492,-15.829101,-23.3735246,3.20872648,-13.7641024,-30.4846974,-1.40618842,-11.563484,-0.260658633,-30.6830122,-10.2355213,-6.51257476,0.783664841,0.697699062,-1.61306441,-5.95267167,-26.3765865,8.73858289,-59.5302485,3.04266321,11.2109805,1.95651769,-7.19719382,-5.36750225,43.9451111,43.5478842,38.5464425,10.8972232,-19.0249109,12.5513874,-18.3032867,-1.35117545,-19.3935817,-11.4207215,-1.40556151,-2.41836327,-3.60325149,0.553332056,-13.3997927,56.6657256,-0.0113224378,-4.46806814,7.5377868,-37.2063981,-56.9408328,100.951187,-17.2581867,0.492083759,3.58345946,2.28720012,-9.38292351,-4.86343458,8.92225589,-5.17217524,-40.5800771,-37.8121354,-0.225789722,-1.92964155,-18.2532784,-1.63952244,-8.29118723,-6.81301804,11.642699,-19.328274,-12.8302889,-2.20005243
Building Products,13.784759,16.5570101,30.2721003,37.3382577,16.8464444,11.8447653,8.97273202,2.9876021,5.89141296,199.444042,-4.6041843,22.8181537,52.7747876,55.489653,86.9594347,-34.1856284,-5.27620998,19.018956,17.7586627,22.4096187,20.299693,16.6659749,7.74827083,3.2498718,-0.893015944,-1.58298446,2.1951602,60.9187646,-3.22689979,-5.32440348,0.498753799,-11.6482373,1.16865049,-16.8604116,-4.68633901,-16.5918518,12.2782772,193.50011,48.0397994,56.951065,9.08588999,-29.4563682,1.05825641,26.2759883,12.0249535,3.69178179,13.9175167,-2.21385868,1.32804748,-22.2431939,-5.59636759,-0.964129685,-6.52820698,5.91116483,-14.7062186,-24.4448383,-1.36860874,-3.10118224,-0.558919159,1.94436615,7.17997838,10.4303388,-2.11105213,64.1855053,36.5960393,-14.4917771,-4.7741353,3.5926865,-6.00354504,-37.5894326,70.5485953,40.7388735,54.5282997,-28.8443986,78.2400703,23.5328335,3.46854031
