Ticker,Aerospace and Defense,Airlines,Aluminum Steel,Apparel and Textiles,Automobiles and Components,Banks,Beverages Tobacco,Biotechnology Life Sciences,Building Products,Carbon Efficiency,Chemicals,Construction and Engineering,Construction and Farm Machinery,Construction Materials Paper and Forest Product,Communications Equipment,Computers Electronics,Commercial and Professional Services,Industrial Conglomerates,Containers and Packaging,Country,Distributors Multiline Retail,Diversified Financials,Dividend Yield,Earnings Quality,Earnings Variability,Earnings Yield,Electrical Equipment,Electric Utilities,Energy Equipment & Services,ESG,Food Products,Food and Staples Retailing,Gas Utilities,Growth,Health Care Equipment and Technology,Health Care Providers (non-HMO),Homebuilding,Household Durables (non-Homebuilding),Industrial Machinery,Insurance Brokers and Reinsurance,Internet Software and IT Services,Investment Quality,Leisure Products Textiles Apparel and Luxury,Hotels Leisure and Consumer Services,Leverage,Life Health and Multi-line Insurance,Liquidity,Long-Term Reversal,Media,Managed Health Care,Mid Capitalization,Momentum,Multi-Utilities Water Utilities Power,Oil Gas and Consumable Fuels,Oil and Gas Exploration and Production,Pharmaceuticals,Precious Metals Gold Mining,Profitability,Household and Personal Products,Real Estate,Restaurants,Residual Volatility,Real Estate Management,Road and Rail,Semiconductors,Semiconductor Equipment,Short Interest,Size,Software,Specialty Retail,Specialty Chemicals,Specialty Stores,Telecommunication Services,Trading Companies and Distributors,Transportation Air Freight and Marine,Value
EBAY,,,,,,,,,,0.092,,,,,,,,,,1,0.666,,0.283,-0.065,0.087,0.664,,,,0.286,,,,-0.523,,,,,,,,1.189,,,0.351,,1.047,0.943,,,0.701,-0.021,,,,,,0.339,,,,-0.065,,,,,1.069,-0.917,,,,,,,,-0.084
CBRE,,,,,,,,,,-2.32,,,,,,,,,,1,,,-0.699,-0.622,-0.445,0.341,,,,0.9,,,,-0.047,,,,,,,,0.408,,,-0.231,,0.048,0.954,,,0.598,0.597,,,,,,-0.333,,,,0.076,0.85,,,,0.02,-0.71,,,,,,,,0.088
DPZ,,,,,,,,,,-0.02,,,,,,,,,,1,,,0.085,-0.013,-0.744,-0.059,,,,-0.942,,,,-0.431,,,,,,,,0.557,,,1.959,,1.754,0.388,,,0.818,-0.54,,,,,,2.067,,,0.715,-0.165,,,,,1.36,-1.346,,,,,,,,-1.189
AMP,,,,,,,,,,-0.267,,,,,,,,,,1,,0.69,-0.072,-0.381,-0.377,0.384,,,,0.191,,,,-0.238,,,,,,0.492,,0.743,,,0.014,,-0.034,-0.035,,,0.505,0.595,,,,,,-1.259,,,,-0.783,,,,,0.745,-0.551,,,,,,,,-0.259
CE,,,,,,,,,,-0.242,,,,,,,,,,1,,,0.504,1.084,0.154,1.701,,,,-0.234,,,,0.027,,,,,,,,-0.599,,,1.691,,1.073,-0.401,,,0.737,-2.975,,,,,,-1.332,,,,1.027,,,,,-0.102,-1.818,,,1.119,,,,,2.016
EXR,,,,,,,,,,0.569,,,,,,,,,,1,,,1.577,0.395,-0.434,-0.031,,,,-1.084,,,,-0.369,,,,,,,,-1.754,,,0.171,,-0.31,1.315,,,0.667,-0.395,,,,,,-0.698,,1.046,,0.046,,,,,0.16,-0.841,,,,,,,,0.463
DLR,,,,,,,,,,-0.835,,,,,,,,,,1,,,0.786,0.509,-0.272,-0.67,,,,0.9,,,,-0.88,,,,,,,,-0.799,,,0.142,,0.162,0.335,,,0.441,0.365,,,,,,-1.187,,1.11,,-0.165,,,,,0.567,-0.453,,,,,,,,0.274
BLDR,,,,,,,,,1.505,-1.075,,,,,,,,,,1,,,-0.699,1.05,0.892,0.47,,,,-0.328,,,,-0.106,,,,,,,,-1.228,,,0.126,,1.101,-1.522,,,0.795,-0.087,,,,,,0.937,,,,0.1,,,,,0.552,-1.199,,,,,,,,0.118
GOOGL,,,,,,,,,,0.418,,,,,,,,,,1,,,-0.43,-0.645,-0.136,0.154,,,,-0.895,,,,0.159,,,,,,,1.23,0.263,,,-0.962,,-1.536,-0.243,,,-0.421,-0.18,,,,,,0.443,,,,0.033,,,,,-0.649,0.823,,,,,,,,-0.187
GOOG,,,,,,,,,,0.418,,,,,,,,,,1,,,-0.423,-0.645,-0.127,0.148,,,,-0.895,,,,0.153,,,,,,,1.247,0.263,,,-0.962,,-2.067,-0.262,,,-0.421,-0.176,,,,,,0.443,,,,0.015,,,,,-0.812,0.823,,,,,,,,-0.187
CF,,,,,,,,,,-1.109,1.051,,,,,,,,,1,,,0.602,1.088,1.42,0.618,,,,-0.517,,,,-0.754,,,,,,,,0.525,,,-0.266,,1.077,-0.314,,,0.818,-0.322,,,,,,-0.626,,,,0.527,,,,,0.767,-1.356,,,,,,,,0.352
KDP,,,,,,,0.72,,,0.103,,,,,,,,,,1,,,0.928,-0.917,-0.624,0.291,,,,0.427,0.111,,,-0.526,,,,,,,,0.449,,,-0.067,,0.647,0.462,,,0.565,-0.904,,,,,,-0.96,,,,-0.012,,,,,-0.217,-0.652,,,,,,,,0.883
CRM,,,,,,,,,,0.379,,,,,,,,,,1,,,-0.418,-0.003,0.311,-0.251,,,,0.9,,,,-0.037,,,,,,,,-0.317,,,-0.764,,0.186,0.531,,,-0.328,0.5,,,,,,-0.079,,,,0.126,,,,,-0.163,0.65,0.951,,,,,,,-0.122
