ticker,assetClass,name,sector
AAPL,Equity,APPLE INC,Information Technology
MSFT,Equity,MICROSOFT CORP,Information Technology
NVDA,Equity,NVIDIA CORP,Information Technology
AMZN,Equity,AMAZON COM INC,Consumer Discretionary
META,Equity,META PLATFORMS INC CLASS A,Communication
GOOGL,Equity,ALPHABET INC CLASS A,Communication
AVGO,Equity,BROADCOM INC,Information Technology
BRKB,Equity,BERKSHIRE HATHAWAY INC CLASS B,Financials
GOOG,Equity,ALPHABET INC CLASS C,Communication
TSLA,Equity,TESLA INC,Consumer Discretionary
LLY,Equity,ELI LILLY,Health Care
JPM,Equity,JPMORGAN CHASE & CO,Financials
V,Equity,VISA INC CLASS A,Financials
XOM,Equity,EXXON MOBIL CORP,Energy
UNH,Equity,UNITEDHEALTH GROUP INC,Health Care
MA,Equity,MASTERCARD INC CLASS A,Financials
COST,Equity,COSTCO WHOLESALE CORP,Consumer Staples
PG,Equity,PROCTER & GAMBLE,Consumer Staples
JNJ,Equity,JOHNSON & JOHNSON,Health Care
WMT,Equity,WALMART INC,Consumer Staples
NFLX,Equity,NETFLIX INC,Communication
ABBV,Equity,ABBVIE INC,Health Care
HD,Equity,HOME DEPOT INC,Consumer Discretionary
KO,Equity,COCA-COLA,Consumer Staples
BAC,Equity,BANK OF AMERICA CORP,Financials
CRM,Equity,SALESFORCE INC,Information Technology
CVX,Equity,CHEVRON CORP,Energy
CSCO,Equity,CISCO SYSTEMS INC,Information Technology
ORCL,Equity,ORACLE CORP,Information Technology
IBM,Equity,INTERNATIONAL BUSINESS MACHINES CO,Information Technology
MRK,Equity,MERCK & CO INC,Health Care
ABT,Equity,ABBOTT LABORATORIES,Health Care
WFC,Equity,WELLS FARGO,Financials
PM,Equity,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples
MCD,Equity,MCDONALDS CORP,Consumer Discretionary
LIN,Equity,LINDE PLC,Materials
ACN,Equity,ACCENTURE PLC CLASS A,Information Technology
PEP,Equity,PEPSICO INC,Consumer Staples
GE,Equity,GE AEROSPACE,Industrials
TMO,Equity,THERMO FISHER SCIENTIFIC INC,Health Care
ADBE,Equity,ADOBE INC,Information Technology
T,Equity,AT&T INC,Communication
VZ,Equity,VERIZON COMMUNICATIONS INC,Communication
DIS,Equity,WALT DISNEY,Communication
ISRG,Equity,INTUITIVE SURGICAL INC,Health Care
QCOM,Equity,QUALCOMM INC,Information Technology
GS,Equity,GOLDMAN SACHS GROUP INC,Financials
NOW,Equity,SERVICENOW INC,Information Technology
